track,novelty_avg,novelty_max,novelty_min,novelty_median,scope_avg,scope_max,scope_min,scope_median,technical_avg,technical_max,technical_min,technical_median
COI (submissions co-authored by SAC),4.637037037037037,5.0,4.333333333333333,4.666666666666667,3.303703703703704,3.8333333333333335,2.3333333333333335,3.5,4.562962962962963,5.166666666666667,3.8,4.5
"Economics, Online Markets, and Human Computation",5.004166666666666,5.666666666666667,4.25,5.0,3.5541666666666667,3.8,3.0,3.6666666666666665,5.019444444444445,5.666666666666667,4.2,5.0
Graph Algorithms and Learning for the Web,4.503947368421053,5.4,0.0,4.675,3.4574561403508777,4.25,0.0,3.6,4.537280701754386,5.8,0.0,4.75
Responsible Web,4.801666666666667,5.5,4.166666666666667,4.8,3.4683333333333337,3.8333333333333335,3.2,3.5,4.905,5.5,4.2,4.9
Search,4.70625,5.25,4.0,4.675,3.85625,4.0,3.75,3.8,4.6625,5.4,3.8,4.625
Security,4.503125,5.2,4.0,4.325,3.4645833333333336,4.0,2.3333333333333335,3.45,4.439583333333333,5.5,3.8,4.5
Semantics and Knowledge,4.7444444444444445,6.0,3.5,4.8,3.4305555555555554,4.25,2.75,3.5,4.611111111111111,5.75,3.6,4.55
"Social Networks, Social Media, and Society",4.438888888888888,5.0,4.0,4.4,3.661111111111111,4.0,3.0,3.6,4.703333333333333,5.5,4.0,4.75
"Systems and Infrastructure for Web, Mobile, and WoT",4.530833333333333,5.0,3.2,4.6,3.1825,3.8,2.2,3.2,4.784166666666667,5.25,4.2,4.8
User Modeling and Recommendation,4.643478260869566,5.75,3.25,4.633333333333333,3.580797101449275,4.0,3.0,3.6,4.751086956521739,6.333333333333333,3.75,4.75
Web Mining and Content Analysis,4.595833333333334,5.25,3.6,4.675,3.2506944444444446,4.0,2.75,3.25,4.670138888888889,5.6,3.25,4.75
